category,author_id,name,title,rid,comment,likes,share,duration,createtime,product,sales,volume,aweme_type,aweme_url,collect_count,download_count,forward_count,group_purchase_poi_id,group_purchase_poi_name,his_promotion_id,is_diversion,label,music_id,play_count,play_count_text,play_count_v1,play_count_v1_text,product_count,promotion_id,sku_id,sku_title,comment_转化率,likes_转化率,share_转化率,collect_count_转化率,download_count_转化率,forward_count_转化率,是否为带货视频,小时,星期几_数字,星期几_文字,标签字数占比,标签情感方向,标题情感方向,标签标题情感方向一致性,标签的平均情感唤起度,标题情感唤起度,标签情感类别,标题情感类别,标签的平均语义距离,标签个数
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#创作灵感 #大自然的馈赠 #植物科普找了一年的植物，终于被我找到了，天麻，你的家乡有吗？,guxcJZB699U2Q6i-Wb6FR9u3mxfN__vo,482,2664,111,50968,2023/6/30 11:44,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7250319881218968891/?region=CN&mid=7250319919559199543&u_code=1bk91b63cgmg&did=MS4wLjABAAAAiR_z50B9aNExHw8h8FGc4emeX7Sf7d0jvRSirj3aAJ9oIyfZlWJD8UNI2SzNyRUu&iid=MS4wLjABAAAApFPRz07j_5-kXCrZ1Y5x40mdQ5kicT1nqhkIsIW0BRj_KRv00lLdfzfbqsnHFFH1&with_sec_did=1&titleType=title&share_sign=CqMCulapYX7s5_IrjeIEPpSU4HYmLLoMFSCVMA.U16k-&share_version=260700&ts=1693278089&from_ssr=1,303,22,0,,,,0,情感,7.25032E+18,210000,21w+,210000,21w+,0,,,,0.002295238,0.012685714,0.000528571,0.001442857,0.000104762,0,0,11,4,Friday,0.888888889,0.947601122,0.999930327,1,0.895202244,0.999860654,[],[],0.247937486,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#你的家乡有这种植物吗 #大自然的馈赠 #我的乡村生活 山里口渴没水了，一定要认识这株植物，肾蕨，你的家乡有吗？,sQFy_SbbnWd3n9ps3hGr48DiU4qOHaAz,93,1974,58,69080,2023/6/27 12:01,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7249211120798502203/?region=CN&mid=7249211183731411773&u_code=b5i3bkf2fb&did=MS4wLjABAAAA-gxAwc55Hwj3Yl2lpXyysFf_UaW17icEAYfKSXFWOHE&iid=MS4wLjABAAAAPEfXTnuQaglHrCrSFmE3tY2Aq9y0z6Sw6oeGKa2d738&with_sec_did=1&titleType=title&share_sign=qtw4yqC4ad.1yRbh0lVePbIbY7s_E.fHYYlTdne93SI-&share_version=260700&ts=1693021609&from_ssr=1,181,14,0,,,,0,情感,7.24921E+18,67000,6.7w+,67000,6.7w+,0,,,,0.00138806,0.029462687,0.000865672,0.002701493,0.000208955,0,0,12,1,Tuesday,0.910714286,0.942134052,0.992902332,1,0.884268104,0.985804665,[],[],0.152694583,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#植物科普 #大自然的馈赠 #你的家乡有这种植物吗 可以捕老鼠的植物，山菅，你的家乡有吗？,P3EnipRm4lH_9cipQk5Mo2DP23QSEI83,103,2623,129,47509,2023/6/26 17:35,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7248926166290025787/?region=CN&mid=7248926206674455357&u_code=3j917jfc89f1&did=MS4wLjABAAAAuignhPHVsIOE2zF3Ey9NQAW8SZA6Rr_gTunbTX3UZ6rAZGHhKUCjS_He-By4spNH&iid=MS4wLjABAAAA4zH6FoSFKg5XXp16uHKKkOTH_dtPzhFASTToxMIiPQ8XY8DEIzPPU9mlMFK7Covw&with_sec_did=1&titleType=title&share_sign=WpzzGObfmFzuy803H2xiAiHv3LwH89TrFE3.MZaRG3o-&share_version=260700&ts=1692951467&from_ssr=1,483,54,0,,,,0,情感,7.24893E+18,79000,7.9w+,79000,7.9w+,0,,,,0.001303797,0.033202532,0.001632911,0.006113924,0.000683544,0,0,17,0,Monday,0.888888889,0.967959843,0.999974102,1,0.935919686,0.999948204,[],[],0.251764983,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#我的乡村生活 #植物科普 #三农 和醋一样酸的植物，野菠菜，你的家乡有吗？,jIkarHXimA3_7k8oTCUa4f020VSvUv9M,268,3185,121,53801,2023/6/25 16:44,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7248541926570446141/?region=CN&mid=7248541985148111671&u_code=19m9824g948f&did=MS4wLjABAAAAEJ1cTGIIOUAeOyROcVcH7jrfKwLlarvYkGNFweJE08LzHWR3wf2OMk1C7UNDhMRX&iid=MS4wLjABAAAAHMeyrJvbEj99DRo0efvXDwKbD5no2kGlLEg0RDX6DrG83SyoBk3hRj8gcCt6aVYE&with_sec_did=1&titleType=title&share_sign=tlnJQp4SxRWcYUo_m19IuYVnNIQjVIgWYJQH_GbbyYw-&share_version=260900&ts=1695715207&from_ssr=1,407,38,0,,,,0,情感,7.24854E+18,93000,9.3w+,93000,9.3w+,0,,,,0.00288172,0.034247312,0.001301075,0.004376344,0.000408602,0,0,16,6,Sunday,0.868421053,0.840055032,0.999804736,0,0.680110064,0.999609471,[],[],0.278105587,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#我的乡村生活 #植物科普 #大自然的馈赠 最早被记录在神农本草经的植物，黎芦，现在懂它价值的已经不多，你还知道哪些吗？@抖音小助手,jRSxIgDIW6PRK01rWni5uLxFtmU9xG4Q,620,12446,797,46719,2023/6/25 13:59,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7248499198436330813/?region=CN&mid=7248499237615389500&u_code=3c8jljg7f9ai&did=MS4wLjABAAAA3G1x2vuGh1dRV2wL3udc4-vEiCuCy58LpfR8g4h5VLQWGKCobwc68VBF7zM0IYMA&iid=MS4wLjABAAAAM0gaJNhcZxGbJ-pKxUPQV0XfU8n_IdoxU5xCye0GTLqVbfXqzv3NCFfOrHhq2_p8&with_sec_did=1&titleType=title&share_sign=yW0LggqDTlBFcGv23SKSxVi7Y3h3.y0VcIXIGpnFHtQ-&share_version=260900&ts=1695713609&from_ssr=1,3412,239,0,,,,0,情感,7.2485E+18,190000,19w+,190000,19w+,0,,,,0.003263158,0.065505263,0.004194737,0.017957895,0.001257895,0,0,13,6,Sunday,0.924242424,0.819968421,0.986322065,0,0.639936843,0.97264413,[],[],0.28994298,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#植物科普 #三农 #中草药 知命不忘知母根，总将辉煌事海论，有着地参之称的，知母，你的家乡有吗？,j1qCkEz4a2tECj_hxYxMw0Jcm3KWb1aL,40,2047,83,75489,2023/6/22 18:20,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7247453379608268092/?region=CN&mid=7247453415483738938&u_code=25a749f6ca3g&did=MS4wLjABAAAAKbBwB5CUOldg3XeJRP_hPsdeRJ-9vu2zpHdSH4oXD-ShdmWKUHt_qIkAzwB40D5Q&iid=MS4wLjABAAAAxUVVmwUXK-HpkzanglUWwCHedEYM6_CznOmlvc0M8a3GDgcW0BzyX9BUjdSHKCiR&with_sec_did=1&titleType=title&share_sign=Lfw0CIyfyDSdH8fo0YQk_yw5M7OCPc1VK3fchjaYpug-&share_version=260600&ts=1692612795&from_ssr=1,263,31,0,,,,0,情感,7.24745E+18,48000,4.8w+,48000,4.8w+,0,,,,0.000833333,0.042645833,0.001729167,0.005479167,0.000645833,0,0,18,3,Thursday,0.897959184,0.891214644,0.999992332,0,0.782429289,0.999984665,[],[],0.327434748,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#我的乡村生活 #植物科普 #三农 美丽的植物背后蕴藏哪些你不知道的知识，滴水观音，大家一定要了解一下,FuqhDlb7IukjJdSTotyeh5ZZPRczlFr1,1166,17039,1519,95202,2023/6/21 17:10,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7247064301993790775/?region=CN&mid=7247064361871641405&u_code=1a93mja0f0gl&did=MS4wLjABAAAA0A7IFAEUNLpY2TeGrbLAc4ACy0M6kFPOXx7kJVX81AS4WG7LfoMYgAmoMmpkhQoz&iid=MS4wLjABAAAACD8JeYt6Hrn5GbWbvFEG_FH6Hx4ueC1ALcm-t_Hz2QrdZjSTi8a0rdnoz2ptoRiB&with_sec_did=1&titleType=title&share_sign=BA3YERcuCqUmD2NbVC8fSrM2DoNo9NkN8SKeEl0KJ8g-&share_version=260900&ts=1695713306&from_ssr=1,2316,211,0,,,,0,情感,7.24706E+18,610000,61w+,610000,61w+,0,,,,0.001911475,0.027932787,0.002490164,0.003796721,0.000345902,0,0,17,2,Wednesday,0.901960784,0.840239577,0.999922676,0,0.680479154,0.999845351,[],[],0.280670255,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#植物科普 #我的乡村生活 #艾叶 端午插艾讲究多，你还知道哪些？,CrUjRJ6s72tjIvytjIUtkW_OXyKhXF8W,87,2510,185,85078,2023/6/21 11:53,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7246982386427137336/?region=CN&mid=7246982425430002488&u_code=2dggmmdfc5gf&did=MS4wLjABAAAAt0XlGTSwlqjJ9QAvRSYzXtYCmHG4w-rUZfFZwG49BdI12ad3zXxXIOZlFNjkDfzb&iid=MS4wLjABAAAAnXn68TDgYAs8RqpsbHMbLqyzIqpGFMBLMbovVtQwUeStkLPEzgwWUkZ3fQC7dfoT&with_sec_did=1&titleType=title&share_sign=FbekRrBWVNHzSxd80ivcwwhqVauHRRySHGvGB9V8O2A-&share_version=260900&ts=1695715449&from_ssr=1,315,49,0,,,,0,情感,7.24698E+18,66000,6.6w+,66000,6.6w+,0,,,,0.001318182,0.038030303,0.00280303,0.004772727,0.000742424,0,0,11,2,Wednesday,0.848484848,0.744159423,0.920525861,0,0.488318847,0.841051721,[],[],0.256261021,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#创作灵感 #植物科普 #我的乡村生活 金银赚尽世人忙，花发金银满架香，金银花，你的家乡有吗？,aLIqppCwQ-duNdSHJvUfTsJVk95r0L38,125,2037,139,91882,2023/6/20 11:23,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7246603786939125052/?region=CN&mid=7246603832813816631&u_code=k0ca1ebdm6e&did=MS4wLjABAAAAtoRY07GzwMD0XI5RIoToaoQ1AFKpkOTs6eHvIgUHzpE&iid=MS4wLjABAAAAlRQ2v8XsrPcTgDpqhfuvk_WpGF4DiusdDWoM-OkBZgE&with_sec_did=1&titleType=title&share_sign=xSQAfGpnWyFDm2LHKOxYRxJVBxx8ssdfpAbgHSgziwc-&share_version=260600&ts=1692412672&from_ssr=1,221,39,0,,,,0,情感,7.2466E+18,75000,7.5w+,75000,7.5w+,0,,,,0.001666667,0.02716,0.001853333,0.002946667,0.00052,0,0,11,1,Tuesday,0.893617021,0.966403941,0.999501032,1,0.932807882,0.999002064,[],[],0.236167714,3
三农,irPHHvIgIoHBDGYau8HkjPWmRXwIHU2s,本草新说,#大自然的馈赠 #我的乡村生活 #三农 长在树上的菠萝，你们见过吗？,sfHU0Nv5W5zJyh-4TNpFmNSvc9nP4hCi,133,1772,43,72284,2023/6/19 12:00,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7246242197094305080/?region=CN&mid=7246242241109363513&u_code=3ege4j3lfb3g&did=MS4wLjABAAAATw9WoKx7i0C-rn2AMaLqirIRqggAW0vpuYK9SZ5rzv1jXXZH0W2JsF8hPTj5LwKO&iid=MS4wLjABAAAA_4hQyiPSMeFvI_2DiLTJZa_ixSEukAS9LGFQ-910iwI&with_sec_did=1&titleType=title&share_sign=tKOluDyyPDuNh4S6Q34eJo_Ai3_zJ4JVqMZccTatCGI-&share_version=260600&ts=1692327089&from_ssr=1,122,14,0,,,,0,情感,7.24624E+18,65000,6.5w+,65000,6.5w+,0,,,,0.002046154,0.027261538,0.000661538,0.001876923,0.000215385,0,0,12,0,Monday,0.852941176,0.763475374,0.590527377,0,0.526950748,0.181054753,[],[],0.150141314,3
