category,author_id,name,title,rid,comment,likes,share,duration,createtime,product,sales,volume,aweme_url,collect_count,download_count,forward_count,play_count,product_count,brand_name,product_id,v11_category_big,v11_category_big_id,v11_category_first,v11_category_first_id,v11_category_second,v11_category_second_id,v11_category_third,v11_category_third_id,v11_category_fourth,v11_category_fourth_id,follower_count
美食,tj-nnKgqh4-AFrlSTk3BgA,??君君美食记,孩子开学了，早餐来碗热乎乎的清汤面，健康好吃又营养#清汤面 #营养早餐每一天 #超好吃 #早餐,Sz-u267ZG4u8aJkdBuXUssoRtKO9q0Pg,2,37.0,8.0,28334.0,2024-03-02 09:13:00,佑伴广式竹升面正宗手工制作鲜蛋面非油炸港式云吞拌面食速食拉面,35.0,1.0,https://www.iesdouyin.com/share/video/7341567877478173990/?region=CN&mid=7341567914757098276&u_code=2gdfbic0ma82&did=MS4wLjABAAAAVTKGtMKzCimkSScQD30rNnk-MbGPiaV0mUf1MWR6NAkfDxziFQMa0smh5ZWakqpw&iid=MS4wLjABAAAAcxOjnZOVYE4YjzP_F5RP5obpfjeipP9wLfZI5s5gFg6y0n9vR4DfGZjDpQe7ZFpe&with_sec_did=1&titleType=title&share_sign=Y57yWVsny91JR9X76KUIWGlTOaxCahpBqzFydd0rOwI-&share_version=290600&ts=1714406270&from_aid=1128&from_ssr=1,25.0,0.0,0.0,0.0,11.0,佑伴,dCi2ukSTBmw2VtVvBKTMbHeTZuIu0M7_,食品饮料,17,方便速食/速冻食品,137,方便速食/冷藏食品,21675,方便面/拉面/面皮/面饼,28262,,0,1910060
美食,tj-nnKgqh4-AFrlSTk3BgA,??君君美食记,这么好吃的蛋糕我还是头一回吃，湿润绵软入口即化 #早餐吃什么 #蛋糕 #下午茶甜品 #早餐打卡,XjxbYCZbgwER3ALkeWh-FpNG7YU89k90,3,28.0,18.0,22967.0,2024-04-28 10:06:00,卡尔顿麦卢卡蜂蜜蛋糕清甜鸡蛋面包营养早餐办公室休闲零食品整箱,140.0,5.0,https://www.iesdouyin.com/share/video/7362733483774463269/?region=CN&mid=7362733532797569830&u_code=-1&did=MS4wLjABAAAAg5_dEHBTfCI-FNUO6abDCairX1y7N8_mJnzOIzCw1pwUigxIirQg_hpX9vbcyKhl&iid=MS4wLjABAAAA8iMI_EWtphbCfy2-cVP396qTr1RXA9pAlyRc5dLvgXtNRpH2XXkKq1HhY9BkFsQq&with_sec_did=1&titleType=title&share_sign=5GkxT6XGqhVTHRQQKRDoQC2BF2a4b2BFsTNzK2yoRHk-&share_version=290800&ts=1719348597&from_aid=1128&from_ssr=1,1.0,0.0,0.0,0.0,11.0,Calleton/卡尔顿,1OQbFCE4pdZrVlLrP_KBEl_PoxAIYMwA,食品饮料,17,零食/坚果/特产,149,糕点/点心/面包,20312,西式糕点,22982,其他传统西式糕点,-29091,1895023
美食,tj-nnKgqh4-AFrlSTk3BgA,??君君美食记,最近晚上馋了饿了我都会吃这个卤牛肉与鹰嘴豆，动植物双蛋白，营养又美味#开袋即食 #零食推荐 #解馋 #,iMbZw2odAgjcbzFO74PfjFWt-cQzWFb5,5,31.0,10.0,23234.0,2024-04-02 21:06:00,味蕾觉醒卤牛肉与鹰嘴豆 安心配料 双蛋白 低碳水牛肉干 露营即食,380.0,5.0,https://www.iesdouyin.com/share/video/7353255270522391834/?region=CN&mid=7353255310364068618&u_code=-1&did=MS4wLjABAAAAS_DMEzalSfLOtHNNXrBnALBeGDRTpGpnkVPMvE_ZTwY&iid=MS4wLjABAAAAfHfpEtTMqB5ksfxDgOBwpv-h3dxGOBfcMVgSTBb1DYA&with_sec_did=1&titleType=title&share_sign=Xv5siJyxSGYWHtay5QGjiJHketty94VIlW.gagGsf7U-&share_version=290600&ts=1717160032&from_aid=1128&from_ssr=1,3.0,0.0,0.0,0.0,11.0,味蕾觉醒,XSkjcRMij4a8LUnsY0zTj1-MQ57XDSfV,食品饮料,17,零食/坚果/特产,149,肉干肉脯/熏腊卤味/肉类熟食,20333,牛肉类,23206,,0,1901518
美食,tj-nnKgqh4-AFrlSTk3BgA,??君君美食记,最近晚上馋了饿了我都会吃这个卤牛肉与鹰嘴豆，动植物双蛋白，营养又美味#开袋即食 #零食推荐 #解馋 #,iMbZw2odAgjcbzFO74PfjFWt-cQzWFb5,5,31.0,10.0,23234.0,2024-04-02 21:06:00,味蕾觉醒卤牛肉与鹰嘴豆 安心配料 双蛋白 低碳水牛肉干 露营即食,380.0,5.0,https://www.iesdouyin.com/share/video/7353255270522391834/?region=CN&mid=7353255310364068618&u_code=-1&did=MS4wLjABAAAAS_DMEzalSfLOtHNNXrBnALBeGDRTpGpnkVPMvE_ZTwY&iid=MS4wLjABAAAAfHfpEtTMqB5ksfxDgOBwpv-h3dxGOBfcMVgSTBb1DYA&with_sec_did=1&titleType=title&share_sign=Xv5siJyxSGYWHtay5QGjiJHketty94VIlW.gagGsf7U-&share_version=290600&ts=1717160032&from_aid=1128&from_ssr=1,3.0,0.0,0.0,0.0,11.0,味蕾觉醒,XSkjcRMij4a8LUnsY0zTj1-MQ57XDSfV,食品饮料,17,零食/坚果/特产,149,肉干肉脯/熏腊卤味/肉类熟食,20333,牛肉类,23206,,0,1901518
美食,ZANKp-pv9flDqt1PLBYgVIMu9gMmmsWc,猪妈妈美食,孩子爱吃的照烧鸡腿，在家也能做，简单美味。#照烧鸡腿做法,lUh1NbkwpuP_MiU2EMbiUhIg3OZwhuX4,23,966.0,273.0,42767.0,2023-09-26 14:19:00,光牙照烧汁80g家用0脂肪低脂照烧鸡排鸡翅鳗鱼牛排酱日式照烧汁,990.0,54.0,https://www.iesdouyin.com/share/video/7283015253615496509/?region=CN&mid=7085960283776207623&u_code=-1&did=MS4wLjABAAAADRLMpFpfQIpyIRU-6EKhHA06WadCkzQHOZAWP8ZdLAM&iid=MS4wLjABAAAAym7KC_pKPgxevnnkHxCRy5ex_HPqPZ6vMTXaK80iqQk&with_sec_did=1&titleType=title&share_sign=8ulnmIY8Wr71pNowAndq.RujIASkTmJ4MtZmvwFJkGA-&share_version=290800&ts=1720381260&from_aid=1128&from_ssr=1,457.0,88.0,0.0,45000.0,60.0,guangya/光牙,3LWbd0uy8CCAwTknR2R_GZF-ysH4u03x,食品饮料,17,粮油米面/南北干货/调味品,168,调味品/果酱/沙拉,21665,调味料,28215,调味汁,31203,1901806
美食,XIx6ESbsktDqblN7MFs2tg,蓝昊优选,经常应酬，聚餐多的，可以备上一些这个白桦树汁!它真不愧大自然的馈赠!这个产自北纬42度长白山原始森林深处的白桦树汁!每一滴都需要三年时间去孕育!每年只有15天采摘期!每一滴都是大自然的馈赠，过年大鱼大肉吃的比较多，一定要给爸妈安排了尝尝，而且包装也特别的高级，不管是送亲戚还是送领导，都非常合适!#好喝到心花怒放 #白桦树汁#口感特别好#饮品推荐 #图文伙伴计划,-vH4HAsWtYqI9awY9nmp21GP-pnc5Ip4,9,24.0,2.0,0.0,2024-03-31 23:26:00,【顺丰包邮】林源春100%白桦树原汁长白山白桦树汁300ml*9瓶,745.0,5.0,https://www.iesdouyin.com/share/note/7352549261583699250/?region=CN&mid=7339096645025680140&u_code=-1&did=MS4wLjABAAAAYbqurtDMr-mmHE4ZX_r1qXgix3lbjwa-oieN-TmLcwChS_y16NcqrNL9rrtJa9Ar&iid=MS4wLjABAAAAH4Y5Xh1as4EkKrMjcna_rUc2gRQWr1ov45GRQhbL0UoLz_T-vWvbqMjaWc9YdB5-&with_sec_did=1&titleType=title&schema_type=37&share_sign=V5TJq4phuNUoikTg7n4iFL0EeWQn9ngu7S5PNICy.Bw-&share_version=290600&ts=1716988572&from_aid=1128&from_ssr=1,0.0,0.0,0.0,0.0,11.0,Linyuanchun/林源春,ECTm09HB1a-NP2L8XPfzG9M65iGZ-9ek,食品饮料,17,酒水/饮料,100,饮料,20309,植物饮料,22911,,0,5230751
美食,XIx6ESbsktDqblN7MFs2tg,蓝昊优选,经常应酬，聚餐多的，可以备上一些这个白桦树汁!它真不愧大自然的馈赠!这个产自北纬42度长白山原始森林深处的白桦树汁!每一滴都需要三年时间去孕育!每年只有15天采摘期!每一滴都是大自然的馈赠，过年大鱼大肉吃的比较多，一定要给爸妈安排了尝尝，而且包装也特别的高级，不管是送亲戚还是送领导，都非常合适!#好喝到心花怒放 #白桦树汁#口感特别好#饮品推荐 #图文伙伴计划,zZ8WO4017-e-VRqFYFYMiFA5FaqI_gzJ,11,27.0,3.0,0.0,2024-03-31 19:11:00,【顺丰包邮】林源春100%白桦树原汁长白山白桦树汁300ml*9瓶,596.0,4.0,https://www.iesdouyin.com/share/note/7352483528535248138/?region=CN&mid=7339096645025680140&u_code=-1&did=MS4wLjABAAAAIeSDjb7OGG2gnmwXI1mVNI-3IOGil5HvyPvRhvVda6xlMuLUVPKsq52S5HiOLQBJ&iid=MS4wLjABAAAA7XfedxYdh1l30tjgoTkqatKS5PAsgfEu-3l3bW3tkluxMjBtuFXf165dHGJDQfO-&with_sec_did=1&titleType=title&schema_type=37&share_sign=yDRNcI._Crm.V0hvqu2dG8e_TK3qH.nF0R6R3hhdv4k-&share_version=290600&ts=1716971316&from_aid=1128&from_ssr=1,3.0,0.0,0.0,0.0,11.0,Linyuanchun/林源春,ECTm09HB1a-NP2L8XPfzG9M65iGZ-9ek,食品饮料,17,酒水/饮料,100,饮料,20309,植物饮料,22911,,0,5230751
美食,XIx6ESbsktDqblN7MFs2tg,蓝昊优选,经常应酬，聚餐多的，可以备上一些这个白桦树汁!它真不愧大自然的馈赠!这个产自北纬42度长白山原始森林深处的白桦树汁!每一滴都需要三年时间去孕育!每年只有15天采摘期!每一滴都是大自然的馈赠，过年大鱼大肉吃的比较多，一定要给爸妈安排了尝尝，而且包装也特别的高级，不管是送亲戚还是送领导，都非常合适!#好喝到心花怒放 #白桦树汁#口感特别好#饮品推荐 #图文伙伴计划,bTF0Z6KLMIdbkmRn-ArF8SC9nT-WUowj,10,35.0,1.0,0.0,2024-03-31 17:02:00,【顺丰包邮】林源春100%白桦树原汁长白山白桦树汁300ml*9瓶,894.0,6.0,https://www.iesdouyin.com/share/note/7352450208191532315/?region=CN&mid=7339096645025680140&u_code=-1&did=MS4wLjABAAAA8VpI7V2RsnZlNMW_queDgY_PKQ8axkGnUjBu8rQBkgAeNsd6VQtRSP-xIk7EyXu3&iid=MS4wLjABAAAA4W6MuSKs5hTll_1EBJ5sbThHgCKkafXDZcBoxGp7FxhCET6PG7AAwsIFnfxvk8Ts&with_sec_did=1&titleType=title&schema_type=37&share_sign=IialbPaZMK3lla7tFgjRNo.WRzaGZW5U8zGApf10D2g-&share_version=290600&ts=1716973086&from_aid=1128&from_ssr=1,3.0,0.0,0.0,0.0,11.0,Linyuanchun/林源春,ECTm09HB1a-NP2L8XPfzG9M65iGZ-9ek,食品饮料,17,酒水/饮料,100,饮料,20309,植物饮料,22911,,0,5230751
美食,XIx6ESbsktDqblN7MFs2tg,蓝昊优选,经常应酬，聚餐多的，可以备上一些这个白桦树汁!它真不愧大自然的馈赠!这个产自北纬42度长白山原始森林深处的白桦树汁!每一滴都需要三年时间去孕育!每年只有15天采摘期!每一滴都是大自然的馈赠，过年大鱼大肉吃的比较多，一定要给爸妈安排了尝尝，而且包装也特别的高级，不管是送亲戚还是送领导，都非常合适!#好喝到心花怒放 #白桦树汁#口感特别好#饮品推荐 #图文伙伴计划,3dKAd8X64Vp6L4A_vPScBkISNdj3boGj,3,11.0,0.0,0.0,2024-03-30 19:34:00,【顺丰包邮】林源春100%白桦树原汁长白山白桦树汁300ml*9瓶,0.0,0.0,https://www.iesdouyin.com/share/note/7352118388396739878/?region=CN&mid=7339096645025680140&u_code=-1&did=MS4wLjABAAAAk6Ftl1NxwjIWLJGE97ouGpZNWenCIofYqcBeGj0k5Ov9Si4tc5tacdRyMFMxjitR&iid=MS4wLjABAAAArdrEbR03MKoKFLsmRQB9XFlcQQnEmheySjN37n7ZbOwe9VmawLoMRiSuhg5jBuQH&with_sec_did=1&titleType=title&schema_type=37&share_sign=yc_DfwGwhRXUoT2p8i.COayWGY8JgHR2_8xOKQu8ceQ-&share_version=290600&ts=1716908036&from_aid=1128&from_ssr=1,1.0,0.0,0.0,0.0,11.0,Linyuanchun/林源春,ECTm09HB1a-NP2L8XPfzG9M65iGZ-9ek,食品饮料,17,酒水/饮料,100,饮料,20309,植物饮料,22911,,0,5231248
美食,XIx6ESbsktDqblN7MFs2tg,蓝昊优选,经常应酬，聚餐多的，可以备上一些这个白桦树汁!它真不愧大自然的馈赠!这个产自北纬42度长白山原始森林深处的白桦树汁!每一滴都需要三年时间去孕育!每年只有15天采摘期!每一滴都是大自然的馈赠，过年大鱼大肉吃的比较多，一定要给爸妈安排了尝尝，而且包装也特别的高级，不管是送亲戚还是送领导，都非常合适!#好喝到心花怒放 #白桦树汁#口感特别好#饮品推荐 #图文伙伴计划,vwTqmG_YNWBfhgSm8WcbliRtc6Bp_QrE,9,40.0,11.0,0.0,2024-03-30 11:25:00,【顺丰包邮】林源春100%白桦树原汁长白山白桦树汁300ml*9瓶,0.0,0.0,https://www.iesdouyin.com/share/note/7351992266946301221/?region=CN&mid=7339096645025680140&u_code=-1&did=MS4wLjABAAAAsDTZmZFEWTF53TAdCUGyvq9QOXLfbkM1X1SkkBzPU0ubglKvxBFHy1vJd9T9HmMM&iid=MS4wLjABAAAA5xIL4I2z4ySbEH5pAYOZbhSmVvWxOKMgsEAt4zUsraqxBhn_ks2pyPwWBYR_-MYf&with_sec_did=1&titleType=title&schema_type=37&share_sign=QRoIJZO9vdSLBWa_cLziGmk_vZD5dfI2dYVxQXOnla0-&share_version=290600&ts=1716890289&from_aid=1128&from_ssr=1,5.0,0.0,0.0,0.0,11.0,Linyuanchun/林源春,ECTm09HB1a-NP2L8XPfzG9M65iGZ-9ek,食品饮料,17,酒水/饮料,100,饮料,20309,植物饮料,22911,,0,5231248
